Date,ATR,CCI,MACD,MTM,ROC,RSI,open,low,high,close,chg,pct_chg
2014-11-04,18.8550,136.2331,18.9956,144.3400,2.9258,76.8039,2511.0360,2498.6050,2517.4600,2513.1720,0.6240,0.0248
2014-11-05,20.1710,109.5090,20.8475,86.7950,1.9854,69.3342,2516.8700,2499.2280,2519.3990,2503.4480,-9.7240,-0.3869
2014-11-06,28.0020,81.1241,22.2697,54.6830,2.9866,70.2687,2505.1670,2482.9830,2510.9850,2506.0670,2.6190,0.1046
2014-11-07,52.1300,83.5607,22.8180,33.2280,3.4528,66.6273,2508.7650,2489.4190,2541.5490,2502.1530,-3.9140,-0.1562
2014-11-10,63.5770,116.5814,28.0592,57.4050,7.0868,83.3976,2529.8300,2514.7100,2565.7300,2565.7300,63.5770,2.5409
2014-11-11,69.8010,116.9537,31.2780,46.0640,7.0233,78.1232,2578.4380,2532.5720,2602.3730,2558.6120,-7.1180,-0.2774
2014-11-12,54.7170,118.4923,36.2917,81.1460,9.5189,84.1553,2545.4030,2539.6010,2594.3180,2594.3180,35.7060,1.3955
2014-11-13,40.0560,123.8577,38.6442,76.3020,6.7489,74.1459,2597.3890,2567.4630,2607.5190,2579.7500,-14.5680,-0.5615
2014-11-14,24.2660,100.0251,40.1540,75.0260,5.2913,74.4816,2569.2110,2557.6660,2581.9320,2581.0930,1.3430,0.0521
2014-11-17,48.1430,96.1905,39.7631,64.9480,3.9765,64.0777,2613.5130,2565.9430,2614.0860,2567.1010,-13.9920,-0.5421
2014-11-18,35.2840,28.5865,36.9548,-24.3140,1.3192,49.0002,2565.2730,2534.9270,2570.2110,2541.4160,-25.6850,-1.0005
2014-11-19,19.1820,0.0108,33.9989,-21.3890,0.9821,46.8411,2538.2330,2531.3180,2550.5000,2537.2230,-4.1930,-0.1650
2014-11-20,22.6370,-18.9134,31.2857,-57.2190,0.9521,46.7680,2528.7800,2522.8360,2545.4730,2537.0990,-0.1240,-0.0049
2014-11-21,55.3300,53.3151,32.5014,3.7050,3.1959,68.6943,2537.5380,2530.0320,2585.3620,2583.4550,46.3560,1.8271
2014-11-24,84.2160,198.3625,38.3327,68.1650,5.7138,81.6026,2614.1600,2602.9440,2667.6710,2649.2580,65.8030,2.5471
2014-11-25,42.2200,217.0742,45.3605,118.4600,7.3300,85.5477,2650.0850,2643.8430,2686.0630,2685.5610,36.3030,1.3703
2014-11-26,37.7990,217.0705,53.3377,181.6020,6.1303,88.5799,2695.2630,2690.3100,2723.3600,2723.0180,37.4570,1.3948
2014-11-27,35.7860,180.8238,61.4904,217.2670,7.6556,90.5738,2737.0300,2718.7040,2754.4900,2754.4900,31.4720,1.1558
2014-11-28,69.1690,168.0433,71.5110,271.7200,8.2681,93.0776,2753.9250,2740.3740,2809.5430,2808.8190,54.3290,1.9724
2014-12-01,46.6790,157.6071,79.4240,236.3570,9.3056,93.4970,2825.6110,2808.6530,2855.3320,2819.8120,10.9930,0.3914
2014-12-02,140.2130,158.4938,93.0249,274.6820,13.2830,96.1490,2807.3380,2804.2930,2944.5060,2923.9400,104.1280,3.6927
2014-12-03,115.9790,161.8367,106.0996,281.9880,15.5992,96.8041,2936.1240,2912.2460,3028.2250,2967.5490,43.6090,1.4914
2014-12-04,137.3410,165.3135,126.0472,381.3330,22.1504,98.0516,2975.4030,2968.8760,3104.8900,3104.3510,136.8020,4.6099
2014-12-05,183.8620,149.8532,141.8773,370.3950,23.1616,98.1796,3143.9680,3011.9360,3195.7980,3124.8850,20.5340,0.6615
2014-12-08,195.1810,149.5630,162.8734,444.0620,28.2126,98.7794,3108.2720,3075.7000,3270.8810,3252.8810,127.9960,4.0960
2014-12-09,313.3110,120.1387,165.8231,287.1010,20.2619,68.0819,3233.0970,3074.5160,3387.8270,3106.9130,-145.9680,-4.4873
2014-12-10,170.8560,96.4798,175.3889,297.6060,21.6018,75.3121,3120.2120,3058.1910,3229.0470,3221.5460,114.6330,3.6896
2014-12-11,95.9810,91.7014,177.8108,215.4630,18.5232,69.0066,3185.1610,3158.4430,3254.4240,3183.0120,-38.5340,-1.1961
2014-12-12,71.5190,81.0787,178.4968,88.8760,17.2679,69.8107,3182.9230,3167.9280,3239.4470,3193.2270,10.2150,0.3209
2014-12-15,82.9240,70.2468,178.9148,92.3430,16.7994,71.8684,3176.8290,3143.2970,3226.2210,3217.2280,24.0010,0.7516
2014-12-16,95.7140,92.8338,184.0776,50.5210,17.6082,78.2544,3221.3580,3207.6880,3303.4020,3303.4020,86.1740,2.6785
2014-12-17,92.4580,113.0771,190.5874,253.6850,19.1781,81.5841,3325.8200,3275.7360,3368.1940,3360.5980,57.1960,1.7314
2014-12-18,71.4820,117.5416,192.3454,124.3810,14.4321,77.9120,3359.0900,3322.2290,3393.7110,3345.9270,-14.6710,-0.4366
2014-12-19,116.2670,118.2135,194.5016,200.1550,14.0054,80.5751,3345.6290,3280.9160,3397.1830,3383.1670,37.2400,1.1130
2014-12-22,97.5460,136.3542,194.8768,201.2540,9.3459,81.3930,3396.2510,3357.6610,3455.2070,3394.4810,11.3140,0.3344
2014-12-23,114.8660,86.9474,187.4013,107.6960,6.4015,62.1021,3358.7980,3316.9130,3431.7790,3324.9240,-69.5570,-2.0491
2014-12-24,151.8620,-3.0403,171.8672,-73.0170,-0.6916,44.7886,3332.1460,3188.4950,3340.3570,3230.3850,-94.5390,-2.8433
2014-12-25,109.4570,28.1469,166.1168,-25.1790,7.3548,59.7493,3254.4800,3226.3220,3335.7790,3335.4190,105.0340,3.2514
2014-12-26,118.3260,113.8537,168.5269,99.9120,6.9623,70.0033,3343.6400,3335.0120,3453.3380,3445.8390,110.4200,3.3105
2014-12-29,118.4440,134.8870,169.2617,72.2880,8.5593,70.7812,3502.1830,3405.8360,3524.2800,3455.4550,9.6160,0.2791
2014-12-30,69.6520,115.7565,168.0759,63.0730,8.2777,70.9784,3450.8140,3422.1740,3491.8260,3457.5540,2.0990,0.0607
2014-12-31,89.8420,142.9568,171.3062,208.7810,9.8369,77.5674,3462.3890,3452.4980,3542.3400,3533.7050,76.1510,2.2025
2015-01-05,135.3370,189.5831,180.4871,411.1560,10.2361,83.8126,3566.0890,3551.5100,3669.0420,3641.5410,107.8360,3.0516
2015-01-06,95.9950,165.2973,185.5849,305.6400,8.3456,83.6876,3608.4280,3587.2310,3683.2260,3641.0590,-0.4820,-0.0132
2015-01-07,69.4920,133.0786,187.6818,197.9510,8.9023,83.8514,3620.9240,3601.6980,3671.1900,3643.7900,2.7310,0.0750
2015-01-08,107.8450,86.1886,180.4427,103.8040,5.2049,61.0821,3650.0730,3552.1000,3659.9450,3559.2590,-84.5310,-2.3199
2015-01-09,153.3580,73.5194,171.7146,89.1690,4.4850,58.2664,3547.5740,3536.3950,3689.7530,3546.7230,-12.5360,-0.3522
